,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt,Nearest Station Index,Nearest Station Lat,Nearest Station Lon,Borough,distance_miles
0,31947881,40.780026,-73.916672,SingleFamily,1.0,3,11105,1288952,2500,0,40.775036,-73.91203399999999,Q,0.42174400060307804
1,94721614,40.77083,-73.90318,MultiFamily2To4,1.0,1,11105,550596,0,0,40.775036,-73.91203399999999,Q,0.5470559479100959
2,94721483,40.77083,-73.90318,MultiFamily2To4,1.0,2,11105,679430,0,0,40.775036,-73.91203399999999,Q,0.5470559479100959
3,31947885,40.779837,-73.916406,SingleFamily,1.0,3,11105,1398531,2500,0,40.775036,-73.91203399999999,Q,0.4030677268554984
4,31943243,40.768852,-73.900892,Triplex,0.0,0,11105,1293072,2200,0,40.775036,-73.91203399999999,Q,0.7230424208407176
5,31943244,40.768754,-73.900791,Duplex,0.0,0,11105,1155868,2180,0,40.775036,-73.91203399999999,Q,0.7313143552315404
6,31943245,40.768724,-73.900656,Triplex,0.0,0,11105,1165071,1768,0,40.775036,-73.91203399999999,Q,0.7382358343246628
7,31943257,40.768739,-73.900724,Triplex,0.0,0,11105,1136988,1870,0,40.775036,-73.91203399999999,Q,0.7347529325582624
8,31943285,40.76958,-73.901833,Duplex,0.0,0,11105,1222811,1900,0,40.775036,-73.91203399999999,Q,0.6536707931284954
9,31943286,40.769521,-73.901803,Duplex,0.0,0,11105,950504,1805,0,40.775036,-73.91203399999999,Q,0.6573104827865833
10,31943287,40.769484,-73.901751,Duplex,0.0,0,11105,953342,1805,0,40.775036,-73.91203399999999,Q,0.6610111297592016
11,31943288,40.769447,-73.901699,SingleFamily,1.0,2,11105,864435,1805,0,40.775036,-73.91203399999999,Q,0.6647121594257808
12,31943289,40.769411,-73.901647,Duplex,0.0,0,11105,951511,1805,0,40.775036,-73.91203399999999,Q,0.6683733577291906
13,31943290,40.769375,-73.901596,Duplex,0.0,0,11105,1017597,1805,0,40.775036,-73.91203399999999,Q,0.6719922924254389
