,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt
0,31947881,40.780026,-73.916672,SingleFamily,1.0,3,11105,1288952,2500
1,94721614,40.77083,-73.90318,MultiFamily2To4,1.0,1,11105,550596,0
2,94721483,40.77083,-73.90318,MultiFamily2To4,1.0,2,11105,679430,0
3,31947885,40.779837,-73.916406,SingleFamily,1.0,3,11105,1398531,2500
4,31943243,40.768852,-73.900892,Triplex,0.0,0,11105,1293072,2200
5,31943244,40.768754,-73.900791,Duplex,0.0,0,11105,1155868,2180
6,31943245,40.768724,-73.900656,Triplex,0.0,0,11105,1165071,1768
7,31943257,40.768739,-73.900724,Triplex,0.0,0,11105,1136988,1870
8,31943285,40.76958,-73.901833,Duplex,0.0,0,11105,1222811,1900
9,31943286,40.769521,-73.901803,Duplex,0.0,0,11105,950504,1805
10,31943287,40.769484,-73.901751,Duplex,0.0,0,11105,953342,1805
11,31943288,40.769447,-73.901699,SingleFamily,1.0,2,11105,864435,1805
12,31943289,40.769411,-73.901647,Duplex,0.0,0,11105,951511,1805
13,31943290,40.769375,-73.901596,Duplex,0.0,0,11105,1017597,1805
14,31943291,40.769339,-73.901544,Duplex,1.0,1,11105,987550,1805
15,31943292,40.769339,-73.901544,SingleFamily,3.0,4,11105,984210,1900
16,31943293,40.769252,-73.901449,MultiFamily2To4,2.0,6,11105,1113182,2371
17,31943315,40.769362,-73.900713,SingleFamily,0.0,0,11105,0,3000
18,31943316,40.769301,-73.900544,MultiFamily2To4,3.0,5,11105,1201217,2200
19,31943317,40.769262,-73.90049,MultiFamily2To4,3.0,3,11105,929739,2200
20,31943359,40.769184,-73.90038,Triplex,0.0,0,11105,1261053,6650
21,31943360,40.769055,-73.900222,Duplex,0.0,0,11105,1101676,2000
22,31943362,40.76911,-73.900255,Duplex,0.0,0,11105,1134982,2200
23,31943414,40.769581,-73.900928,SingleFamily,1.0,2,11105,837637,2216
24,31943415,40.769624,-73.900989,Duplex,0.0,0,11105,1396892,2503
25,31949356,40.640753,-74.034718,Condominium,0.0,0,11102,0,0
26,2098005334,40.773104,-73.926084,SingleFamily,2.0,3,11102,877185,0
27,2088534884,40.770401,-73.920402,Condominium,1.0,1,11102,607791,0
28,2089608941,40.770401,-73.920402,Condominium,1.0,1,11102,606591,0
29,31936880,40.772317,-73.930578,MultiFamily2To4,2.0,0,11102,1672221,2637
30,31936881,40.772563,-73.931532,VacantResidentialLand,0.0,0,11102,0,1848
31,31936882,40.772624,-73.931591,VacantResidentialLand,0.0,0,11102,0,2383
32,31936883,40.772646,-73.931664,MultiFamily2To4,3.0,5,11102,1595114,2349
33,31936884,40.772782,-73.93212,SingleFamily,0.0,0,11102,0,2538
34,31936885,40.772775,-73.932227,SingleFamily,0.0,0,11102,0,2035
35,31936886,40.772822,-73.932399,SingleFamily,0.0,0,11102,0,1875
36,31936897,40.772309,-73.929146,MultiFamily2To4,2.0,3,11102,971628,1512
37,31936898,40.77236,-73.929243,MultiFamily2To4,1.0,1,11102,1160420,2424
38,31936899,40.772358,-73.929329,SingleFamily,0.0,0,11102,0,2424
39,31936900,40.772356,-73.929413,SingleFamily,1.0,2,11102,1537502,2480
40,31936901,40.772354,-73.929501,Apartment,1.0,1,11102,0,2500
41,31936902,40.772355,-73.929591,SingleFamily,0.0,0,11102,0,2520
42,31936903,40.772357,-73.929676,SingleFamily,0.0,0,11102,0,2700
43,31936904,40.77236,-73.929806,SingleFamily,0.0,0,11102,0,5764
44,31936936,40.771961,-73.929223,SingleFamily,0.0,0,11102,0,1940
45,31936937,40.77193,-73.929318,MultiFamily2To4,1.0,1,11102,692460,1385
46,31936938,40.771927,-73.92939,SingleFamily,0.0,0,11102,0,1380
47,31936939,40.771924,-73.929464,SingleFamily,0.0,0,11102,0,1380
48,31936940,40.771922,-73.929537,SingleFamily,5.0,3,11102,1400425,1380
49,31937389,40.772017,-73.928166,Triplex,0.0,0,11102,1663604,1454
50,2085989830,40.765317,-73.920815,MultiFamily2To4,1.0,3,11102,675243,0
51,145596585,40.769887,-73.928552,Duplex,0.0,0,11102,1324334,2328
52,145596586,40.769887,-73.928552,Duplex,0.0,0,11102,1324334,2328
53,2095914011,40.768197,-73.927181,Apartment,1.0,1,11102,0,0
54,31937336,40.770517,-73.929777,Duplex,0.0,0,11102,1342909,2500
55,31937337,40.770481,-73.9297,MultiFamily2To4,1.0,3,11102,1033923,2500
56,31937338,40.770446,-73.929625,MultiFamily2To4,1.0,3,11102,990058,2500
57,31937339,40.770373,-73.929581,Apartment,1.0,3,11102,0,3500
58,31937340,40.770331,-73.929512,Duplex,0.0,0,11102,1341372,3418
59,31937341,40.770296,-73.929435,MultiFamily2To4,2.5,5,11102,1241777,3418
60,31937342,40.770261,-73.92936,MultiFamily2To4,1.0,0,11102,915638,3418
61,31937343,40.770225,-73.929282,MultiFamily2To4,3.0,5,11102,1357987,3419
62,31937344,40.770189,-73.929206,Duplex,0.0,0,11102,1461457,3443
63,31937345,40.770155,-73.92913,MultiFamily2To4,2.0,4,11102,1385746,3450
64,31937346,40.770119,-73.929054,MultiFamily2To4,2.0,4,11102,1516774,3443
65,31937347,40.770084,-73.928978,Duplex,0.0,0,11102,1442806,3443
66,31937348,40.770049,-73.928902,MultiFamily2To4,3.0,6,11102,1580702,3441
67,31937349,40.770013,-73.928826,Duplex,0.0,0,11102,1571718,3461
68,31937350,40.769975,-73.928749,Duplex,0.0,0,11102,1399146,3461
69,31937351,40.769959,-73.928654,Duplex,0.0,0,11102,1347061,3552
70,31937352,40.769911,-73.928604,Duplex,0.0,0,11102,1272228,2328
71,31937353,40.769862,-73.928499,MultiFamily2To4,2.0,2,11102,1064363,2331
72,31937354,40.769879,-73.928386,Duplex,0.0,0,11102,1715919,2787
73,31937355,40.769837,-73.928296,Duplex,0.0,0,11102,1799395,2375
74,31937356,40.7698,-73.928219,Duplex,0.0,0,11102,1797450,2375
75,248765987,40.76019,-73.9329,SingleFamily,0.0,0,11106,0,2000
76,83056383,40.752254,-73.855818,Quadruplex,0.0,0,11368,1376881,3125
77,2110021882,40.759239,-73.982749,Unknown,0.0,0,10020,590054,0
78,2097787754,40.750211,-73.99595,SingleFamily,1.0,2,10001,1192784,0
79,2089624535,40.75109,-74.002129,MultiFamily2To4,2.0,2,10001,1408035,0
80,2086171323,40.75109,-74.002129,MultiFamily2To4,1.0,1,10001,763551,0
81,2087376454,40.752236,-73.998815,Apartment,1.0,1,10001,0,0
82,2090376970,40.747842,-73.989412,MultiFamily2To4,1.0,1,10001,795492,0
83,2091861983,40.747842,-73.989412,MultiFamily2To4,1.0,0,10001,512450,0
84,2092101862,40.747842,-73.989412,MultiFamily2To4,1.0,0,10001,516838,0
85,2092930173,40.747842,-73.989412,MultiFamily2To4,1.0,1,10001,792048,0
86,2104007914,40.748723,-73.990137,MultiFamily2To4,1.0,1,10001,726468,0
87,2106835192,40.748723,-73.990137,Unknown,0.0,0,10001,609369,0
88,2108021602,40.74866,-73.99023,MultiFamily2To4,1.0,1,10001,734960,0
89,2113409141,40.74709,-73.98667,MultiFamily2To4,1.0,1,10001,809306,0
90,2115339197,40.748723,-73.990137,MultiFamily2To4,1.0,1,10001,714440,0
91,2117465483,40.748723,-73.990137,MultiFamily2To4,1.0,1,10001,834513,0
92,2117750611,40.747088,-73.986674,MultiFamily2To4,2.0,2,10001,1369080,0
93,2119079232,40.74866,-73.99023,SingleFamily,1.0,0,10001,519184,0
94,2122736525,40.748723,-73.990137,Apartment,1.0,1,10001,0,0
95,2125728933,40.747088,-73.986674,Apartment,1.0,1,10001,0,0
96,2127234543,40.747088,-73.986674,Apartment,1.0,2,10001,0,0
